code|level|name|nuts0|nuts1|nuts2|pop3|pop2|pop1|pop0|density|fertility|popchange|womenratio|gdppps|gva
ITC|1|Nord-Ovest|IT|ITC||0.0|0.0|0.5654101995565408|0.7203867615938067|0.013375418278472603|0.14025974025974028|0.09288851587210042|0.5654101995565408|0.2028725314183124|0.1744888266347487
ITF|1|Sud|IT|ITF||0.0|0.0|0.5609756097560978|0.7203867615938067|0.008984977573154234|0.12467532467532469|0.04535872343267181|0.5609756097560978|0.10233393177737882|0.08163586905309753
ITG|1|Isole|IT|ITG||0.0|0.0|0.5631929046563193|0.7203867615938067|0.006322234615658447|0.1272727272727273|0.06734335824383965|0.5631929046563193|0.09874326750448834|0.037384656933824395
ITH|1|Nord-Est|IT|ITH||0.0|0.0|0.5587583148558759|0.7203867615938067|0.00907041317606854|0.14805194805194807|0.10350861749725296|0.5587583148558759|0.19569120287253144|0.12181013543741026
ITI|1|Centro (IT)|IT|ITI||0.0|0.0|0.6053215077605321|0.7203867615938067|0.009877304981370292|0.1142857142857143|0.06858635406106008|0.6053215077605321|0.17594254937163378|0.11443593800235094
LI0|1|Liechtenstein|LI|LI0||0.0|0.0|0.4900221729490022|0.0|0.011429385100980136|0.20779220779220783|0.0946217285989206|0.4900221729490022|0.14391992583987517|0.010071491969965738
NO0|1|Norge|NO|NO0||0.0|0.0|0.41685144124168505|0.06374765932398728|0.0007546811590763462|0.20519480519480524|0.11915458072036084|0.41685144124168505|0.33393177737881513|0.09031473611748148
CZ05|2|Severovýchod|CZ|CZ0|CZ05|0.0|0.10045935932597655|0.5077605321507759|0.12787798532034536|0.005795381731020244|0.24935064935064935|0.09667289935224588|0.5077605321507759|0.07899461400359066|0.0069143700174870305
CZ06|2|Jihovýchod|CZ|CZ0|CZ06|0.0|0.1126209829287434|0.5210643015521061|0.12787798532034536|0.005804874575788499|0.2545454545454545|0.09807753015668727|0.5210643015521061|0.08617594254937164|0.008406209122869037
CZ07|2|Střední Morava|CZ|CZ0|CZ07|0.0|0.08066340472765464|0.5432372505543237|0.12787798532034536|0.006265277547048912|0.24155844155844156|0.09379837666871049|0.5432372505543237|0.07719928186714542|0.005473185824616225
CZ08|2|Moravskoslezsko|CZ|CZ0|CZ08|0.0|0.07985943465254378|0.5365853658536583|0.12787798532034536|0.01069843605382443|0.23376623376623376|0.09245824808921643|0.5365853658536583|0.07719928186714542|0.0054224662100319
