id,name,q,r,colour
HU22,"Nyugat-Dunántúl",7,-2,"rgb(106,0,0)"
HU23,"Dél-Dunántúl",6,-1,"rgb(106,0,0)"
HU31,"Észak-Magyarország",7,-1,"rgb(106,0,0)"
HU32,"Észak-Alföld",6,0,"rgb(106,0,0)"
HU33,"Dél-Alföld",7,0,"rgb(106,0,0)"
SI03,"Vzhodna Slovenija",2,-3,"rgb(159,30,30)"
SI04,"Zahodna Slovenija",3,-3,"rgb(159,30,30)"
HR02,"Panonska Hrvatska",2,-4,"rgb(212,60,60)"
HR03,"Jadranska Hrvatska",3,-4,"rgb(212,60,60)"
HR05,"Grad Zagreb",4,-4,"rgb(212,60,60)"
HR06,"Sjeverna Hrvatska",4,-3,"rgb(212,60,60)"
RS11,"Београдски регион",5,-3,"rgb(0,90,90)"
RS12,"Регион Војводине",6,-3,"rgb(0,90,90)"
RS21,"Регион Шумадије и Западне Србије",5,-4,"rgb(0,90,90)"
RS22,"Регион Јужне и Источне Србије",6,-4,"rgb(0,90,90)"
RO11,"Nord-Vest",7,-4,"rgb(53,120,120)"
RO12,"Centru",8,-4,"rgb(53,120,120)"
RO21,"Nord-Est",9,-4,"rgb(53,120,120)"
RO22,"Sud-Est",7,-3,"rgb(53,120,120)"
RO31,"Sud-Muntenia",8,-3,"rgb(53,120,120)"
RO32,"Bucureşti-Ilfov",9,-3,"rgb(53,120,120)"
RO41,"Sud-Vest Oltenia",8,-2,"rgb(53,120,120)"
RO42,"Vest",9,-2,"rgb(53,120,120)"
AL01,"Veri",4,-5,"rgb(106,150,150)"
AL02,"Qender",4,-6,"rgb(106,150,150)"
AL03,"Jug",5,-6,"rgb(106,150,150)"
ME00,"Црна Гора",5,-5,"rgb(159,180,180)"
MK00,"Северна Македонија",6,-6,"rgb(212,210,210)"
BG31,"Северозападен",6,-5,"rgb(0,240,240)"
BG32,"Северен централен",7,-5,"rgb(0,240,240)"
BG33,"Североизточен",8,-5,"rgb(0,240,240)"
BG34,"Югоизточен",7,-6,"rgb(0,240,240)"
BG41,"Югозападен",8,-6,"rgb(0,240,240)"
BG42,"Южен централен",7,-7,"rgb(0,240,240)"
EL30,"Aττική",4,-7,"rgb(53,0,0)"
EL41,"Βόρειο Αιγαίο",5,-7,"rgb(53,0,0)"
EL42,"Νότιο Αιγαίο",6,-7,"rgb(53,0,0)"
EL43,"Κρήτη",4,-8,"rgb(53,0,0)"
EL51,"Aνατολική Μακεδονία, Θράκη",5,-8,"rgb(53,0,0)"
EL52,"Κεντρική Μακεδονία",6,-8,"rgb(53,0,0)"
EL53,"Δυτική Μακεδονία",7,-8,"rgb(53,0,0)"
EL54,"Ήπειρος",4,-9,"rgb(53,0,0)"
EL61,"Θεσσαλία",5,-9,"rgb(53,0,0)"
EL62,"Ιόνια Νησιά",6,-9,"rgb(53,0,0)"
EL63,"Δυτική Ελλάδα",7,-9,"rgb(53,0,0)"
EL64,"Στερεά Ελλάδα",6,-10,"rgb(53,0,0)"
EL65,"Πελοπόννησος",7,-10,"rgb(53,0,0)"
CY00,"Κύπρος",4,-11,"rgb(106,30,30)"
TR10,"İstanbul",8,-7,"rgb(159,60,60)"
TR21,"Tekirdağ, Edirne, Kırklareli",9,-7,"rgb(159,60,60)"
TR22,"Balıkesir, Çanakkale",8,-8,"rgb(159,60,60)"
TR31,"İzmir",9,-8,"rgb(159,60,60)"
TR32,"Aydın, Denizli, Muğla",10,-8,"rgb(159,60,60)"
TR33,"Manisa, Afyonkarahisar, Kütahya, Uşak",11,-8,"rgb(159,60,60)"
TR41,"Bursa, Eskişehir, Bilecik",12,-8,"rgb(159,60,60)"
TR42,"Kocaeli, Sakarya, Düzce, Bolu, Yalova",13,-8,"rgb(159,60,60)"
TR51,"Ankara",9,-9,"rgb(159,60,60)"
TR52,"Konya, Karaman",10,-9,"rgb(159,60,60)"
